"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-175 -20 1589 7 2015-07-15 736160 0.526773757513762
-175 -20 1589 8 2015-08-15 736191 -0.0421697334513648
-175 -20 1589 9 2015-09-15 736222 -0.249133386553168
-175 -20 1589 10 2015-10-15 736252 -1.27764774828815
-175 -20 1589 11 2015-11-15 736283 0.87742012375499
-175 -20 1589 12 2015-12-15 736313 -0.334760711826316
-175 -15 1983 1 2015-01-15 735979 -0.0351312838071866
-175 -15 1983 2 2015-02-15 736010 0.239679683401457
-175 -15 1983 3 2015-03-15 736038 0.121051395935183
-175 -15 1983 4 2015-04-15 736069 0.335816863929275
-175 -15 1983 5 2015-05-15 736099 0.0328627180912251
